block_id,address,round_id,project_hash,votes,cost,datetime
1013862,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,1,6.0,2021-12-15T11:59:06+00:00
1013642,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,1,5.0,2021-12-15T11:37:06+00:00
1013633,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,2,7.0,2021-12-15T11:36:12+00:00
1013610,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,2,3.0,2021-12-15T11:33:54+00:00
1008320,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,1,1.0,2021-12-15T02:44:54+00:00
1002306,5Hj5uU49qCAPbu5YeDPswwL5gfkBQHBruZfGpmK2U5q8TmFB,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,1,1.0,2021-12-14T16:43:30+00:00
943713,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,1,1.0,2021-12-10T15:04:12+00:00
939558,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x6eb87d7dae11c18f702d06df6eb87d7dae11c18f702d6eb87d7dae11c18f702d,2,3.0,2021-12-10T08:08:42+00:00
