block_id,address,round_id,project_hash,votes,cost,datetime
1014178,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,3,0,2021-12-15T12:30:42+00:00
1014101,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,4,0,2021-12-15T12:23:00+00:00
1014093,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,2,0,2021-12-15T12:22:12+00:00
1013915,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,1,0,2021-12-15T12:04:24+00:00
1013900,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,30,0,2021-12-15T12:02:54+00:00
1013890,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,2,3.0,2021-12-15T12:01:54+00:00
1008326,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,3,6.0,2021-12-15T02:45:30+00:00
997300,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,1,2.0,2021-12-14T08:22:54+00:00
997298,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,1,1.0,2021-12-14T08:22:42+00:00
995859,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,10,55.0,2021-12-14T05:58:48+00:00
995288,5FbMH4qZZxfWKppNQTaEGY8a7gHuaKFLPsm3hCrUc2HN7BZF,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,5,15.0,2021-12-14T05:01:42+00:00
988378,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,1,21.0,2021-12-13T17:30:42+00:00
959002,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,20,210.0,2021-12-11T16:33:06+00:00
958901,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,10,215.0,2021-12-11T16:23:00+00:00
958685,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0xed2053b21b5d3b3a243a043aed2053b21b5d3b3a243aed2053b21b5d3b3a243a,1,1.0,2021-12-11T16:01:24+00:00
