block_id,address,round_id,project_hash,votes,cost,datetime
1013868,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,1,6.0,2021-12-15T11:59:42+00:00
1013616,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,5,15.0,2021-12-15T11:34:30+00:00
1013435,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,3,12.0,2021-12-15T11:16:24+00:00
959017,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,10,55.0,2021-12-11T16:34:36+00:00
943735,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,1,1.0,2021-12-10T15:06:24+00:00
847211,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,3,6.0,2021-12-03T22:08:00+00:00
806964,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,1,2.0,2021-12-01T03:03:18+00:00
511017,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0xbdb96cdae5cd8b29110b0694bdb96cdae5cd8b29110bbdb96cdae5cd8b29110b,1,1.0,2021-11-10T13:47:30+00:00
