block_id,address,round_id,project_hash,votes,cost,datetime
1014160,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,0,2021-12-15T12:28:54+00:00
1014011,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,0,2021-12-15T12:14:00+00:00
1013899,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,1.0,2021-12-15T12:02:48+00:00
1008322,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,1.0,2021-12-15T02:45:06+00:00
995367,5FbMH4qZZxfWKppNQTaEGY8a7gHuaKFLPsm3hCrUc2HN7BZF,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,1.0,2021-12-14T05:09:36+00:00
958692,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,1.0,2021-12-11T16:02:06+00:00
943763,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,1,6.0,2021-12-10T15:09:12+00:00
943744,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,5,15.0,2021-12-10T15:07:18+00:00
930204,5DtockvZMA7jFiCT4x2BkADfzz9cwP6fzHvAweQy5eZveXy7,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,2,13.0,2021-12-09T16:33:18+00:00
930184,5DtockvZMA7jFiCT4x2BkADfzz9cwP6fzHvAweQy5eZveXy7,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,5,0,2021-12-09T16:31:18+00:00
925557,5DqaYeAzYR1ubKS94F3bXA5muCVy41Sz469kR9speLoQ9EKh,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,4,30.0,2021-12-09T08:48:36+00:00
924289,5DqaYeAzYR1ubKS94F3bXA5muCVy41Sz469kR9speLoQ9EKh,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,5,15.0,2021-12-09T06:41:48+00:00
924273,5GULufjorBMH44aowdx3QmqcZjJSoZ5Wt2JEAKoMzfNyabZp,2,0xd0671b9c6894ebaaf21006cbd0671b9c6894ebaaf210d0671b9c6894ebaaf210,4,10.0,2021-12-09T06:40:12+00:00
