block_id,address,round_id,project_hash,votes,cost,datetime
1014388,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,10,0,2021-12-15T12:51:42+00:00
1014384,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,3,0,2021-12-15T12:51:18+00:00
1014375,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,0,2021-12-15T12:50:24+00:00
1014300,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,2,0,2021-12-15T12:42:54+00:00
1014264,5G9Q5mbfrcWb6Vr2PzUnDzjdbCHhBtYM4dZ1dwtYFvr7mAko,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,2,0,2021-12-15T12:39:18+00:00
1014164,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,2,0,2021-12-15T12:29:18+00:00
1014090,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,0,2021-12-15T12:21:54+00:00
1014088,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,0,2021-12-15T12:21:42+00:00
1014020,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,0,2021-12-15T12:14:54+00:00
1013897,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,0,2021-12-15T12:02:36+00:00
1013883,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,1.0,2021-12-15T12:01:12+00:00
1013087,5Gc98hoc4xH8QjoPLMrJSd378iA5ifkGTbMsxnZGHwkxj59U,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,30,0,2021-12-15T10:41:36+00:00
1013085,5Gc98hoc4xH8QjoPLMrJSd378iA5ifkGTbMsxnZGHwkxj59U,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,30,0,2021-12-15T10:41:24+00:00
1013070,5Gc98hoc4xH8QjoPLMrJSd378iA5ifkGTbMsxnZGHwkxj59U,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,39,0,2021-12-15T10:39:54+00:00
1013044,5Gc98hoc4xH8QjoPLMrJSd378iA5ifkGTbMsxnZGHwkxj59U,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,30,0,2021-12-15T10:37:18+00:00
1008349,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,1.0,2021-12-15T02:47:48+00:00
997317,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,1.0,2021-12-14T08:24:36+00:00
984511,5DjnBqv5wWQuYeyrqanCrCiSMFbPuqUBvffNEUAfNsFGH6eF,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,8,44.0,2021-12-13T11:04:00+00:00
958710,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,3,9.0,2021-12-11T16:03:54+00:00
958681,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0x257706b3e4e7c80b58d006a0257706b3e4e7c80b58d0257706b3e4e7c80b58d0,1,1.0,2021-12-11T16:01:00+00:00
