block_id,address,round_id,project_hash,votes,cost,datetime
1013891,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,20,0,2021-12-15T12:02:00+00:00
1013877,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,30,0,2021-12-15T12:00:36+00:00
1013864,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,6.0,2021-12-15T11:59:18+00:00
1013858,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,5.0,2021-12-15T11:58:42+00:00
1013627,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,4,10.0,2021-12-15T11:35:36+00:00
1013421,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,5,20.0,2021-12-15T11:15:00+00:00
1008361,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,0,2021-12-15T02:49:00+00:00
1008355,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,1.0,2021-12-15T02:48:24+00:00
997321,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,1.0,2021-12-14T08:25:00+00:00
995812,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,5,0,2021-12-14T05:54:06+00:00
959011,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,10,55.0,2021-12-11T16:34:00+00:00
958922,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,2,0,2021-12-11T16:25:06+00:00
943729,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,1.0,2021-12-10T15:05:48+00:00
847207,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,7,28.0,2021-12-03T22:07:36+00:00
737847,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x3ca5bab08877e17a662106c03ca5bab08877e17a66213ca5bab08877e17a6621,1,1.0,2021-11-26T07:51:00+00:00
