block_id,address,round_id,project_hash,votes,cost,datetime
1013886,5FUZqF1VCUdNpGkmy8SGw9S6fzDeWfz5VjbB8JE6B4K6safQ,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-12-15T12:01:30+00:00
1013873,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,20,310.0,2021-12-15T12:00:12+00:00
1008347,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-12-15T02:47:36+00:00
997304,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-12-14T08:23:18+00:00
995847,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,5,0,2021-12-14T05:57:36+00:00
994835,5FbMH4qZZxfWKppNQTaEGY8a7gHuaKFLPsm3hCrUc2HN7BZF,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,5,15.0,2021-12-14T04:16:24+00:00
959006,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,15,120.0,2021-12-11T16:33:30+00:00
958897,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,10,125.0,2021-12-11T16:22:36+00:00
958698,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-12-11T16:02:42+00:00
943738,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,3,6.0,2021-12-10T15:06:42+00:00
847203,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,4,22.0,2021-12-03T22:07:12+00:00
847183,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,3,6.0,2021-12-03T22:05:12+00:00
807271,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,2.0,2021-12-01T03:34:00+00:00
807270,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-12-01T03:33:54+00:00
468242,5H1EzDrdeiJCWFuvtDRMwfsD7pTs1yVzh9Fxu7nCwixuYGdd,2,0xbeb340485634ed55e047068fbeb340485634ed55e047beb340485634ed55e047,1,1.0,2021-11-07T14:30:00+00:00
