block_id,address,round_id,project_hash,votes,cost,datetime
1013868,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,20,410.0,2021-12-15T11:59:42+00:00
1013866,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,6.0,2021-12-15T11:59:30+00:00
1013856,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,2,9.0,2021-12-15T11:58:30+00:00
1013622,5E2bVZqJqjSWTAdKNDkidgh9dAkmbMaXrnPmK4c1gJuDdySz,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,3,6.0,2021-12-15T11:35:06+00:00
1013432,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,4,18.0,2021-12-15T11:16:06+00:00
1008366,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,0,2021-12-15T02:49:30+00:00
1008345,5CGPNBiQ2gLHG33jLFf1EFn8E5Nhi8sBB85DQJJB7yY7EZTH,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,1.0,2021-12-15T02:47:24+00:00
997311,5H6wUckki4gV9EW9JP53MaCPurCNubSK1UHckSZ7UeajGML5,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,1.0,2021-12-14T08:24:00+00:00
995851,5GpbackAZodhU8DuGtrjmBFw6o6rEicZKgxbu65DDRZ6BU56,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,10,0,2021-12-14T05:58:00+00:00
959014,5CkCjagYRCuKt5cgqeRVvMcVjQB3uAFfjJbtCQDvf7s5uA2x,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,10,55.0,2021-12-11T16:34:18+00:00
958911,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,5,0,2021-12-11T16:24:00+00:00
958689,5CXkefQkmfPJgadXmV4K3SFNpp7pbzSKoY6PcZTCRuuRUsba,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,3,6.0,2021-12-11T16:01:48+00:00
943733,5Gxp6BBmGQXXz7UwdTH7jdDaHhD1ZsKVpkAzFPSvobmJgGfT,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,1.0,2021-12-10T15:06:12+00:00
939640,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,2.0,2021-12-10T08:16:54+00:00
930192,5DtockvZMA7jFiCT4x2BkADfzz9cwP6fzHvAweQy5eZveXy7,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,5,0,2021-12-09T16:32:06+00:00
884674,5G9Q5mbfrcWb6Vr2PzUnDzjdbCHhBtYM4dZ1dwtYFvr7mAko,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,13,91.0,2021-12-06T12:40:18+00:00
848408,5H6Eh2uyqXPp5qmzpXwwFzJXGY7B8SkRqHD1YDUzYVojt2gu,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,10,55.0,2021-12-04T00:07:42+00:00
806978,5CA993JVbhF4gernY5JmLVnNs1cxwPi8YX7XyuFg42CrVQki,2,0x91de225bc2536810608006be91de225bc2536810608091de225bc25368106080,1,1.0,2021-12-01T03:04:42+00:00
